,Conflict type,Vehicle order,PET,TA
130,Merge,HV-AV,5.7,9.743877014734025
131,Merge,HV-AV,5.7,11.05519809016951
132,Merge,HV-AV,5.7,12.600424766971832
133,Merge,HV-AV,5.7,14.400126762166453
134,Merge,HV-AV,5.7,16.526007065386562
135,Merge,HV-AV,5.7,19.07133505981048
149,Merge,HV-AV,6.6,15.441140041071977
150,Merge,HV-AV,6.6,15.061973786371524
151,Merge,HV-AV,6.6,14.607117288464353
152,Merge,HV-AV,6.6,14.055292691763663
153,Merge,HV-AV,6.6,13.421308480964912
154,Merge,HV-AV,6.6,12.61793094949745
155,Merge,HV-AV,6.6,11.656341498503933
156,Merge,HV-AV,6.6,10.528422522127098
157,Merge,HV-AV,6.6,9.177305140519628
158,Merge,HV-AV,6.6,7.575043496718832
159,Merge,HV-AV,6.6,5.819966332252324
160,Merge,HV-AV,6.6,3.983239798759886
161,Merge,HV-AV,6.6,1.9874238030420521
162,Merge,HV-AV,6.6,0.15632388582423928
163,Merge,HV-AV,6.6,-1.3781067466415955
164,Merge,HV-AV,6.6,-2.5607843752783133
165,Merge,HV-AV,6.6,-3.26484320793244
166,Merge,HV-AV,6.6,-2.426994789529708
167,Merge,HV-AV,6.6,-2.535727442340935
168,Merge,HV-AV,6.6,-2.674396312684916
169,Merge,HV-AV,6.6,-2.5136059335187326
170,Merge,HV-AV,6.6,-2.74033861799586
171,Merge,HV-AV,6.6,-3.3390581130012755
172,Merge,HV-AV,6.6,-4.323239103931638
173,Merge,HV-AV,6.6,-5.6513124988518335
174,Merge,HV-AV,6.6,-7.339939184919697
175,Merge,HV-AV,6.6,-9.247426381257693
176,Merge,HV-AV,6.6,-11.092739089181556
177,Merge,HV-AV,6.6,-12.605358973920591
178,Merge,HV-AV,6.6,-13.364746126556554
179,Merge,HV-AV,6.6,-13.184394980209703
180,Merge,HV-AV,6.6,-12.033170184742541
181,Merge,HV-AV,6.6,-10.16004475399211
182,Merge,HV-AV,6.6,-8.042222941766106
183,Merge,HV-AV,6.6,-5.854320347304341
184,Merge,HV-AV,6.6,-3.9887005029473244
185,Merge,HV-AV,6.6,-2.473932315220072
186,Merge,HV-AV,6.6,-1.2624956209259661
187,Merge,HV-AV,6.6,-0.2704328525257207
188,Merge,HV-AV,6.6,0.47031059342173087
189,Merge,HV-AV,6.6,1.035907281681812
190,Merge,HV-AV,6.6,1.5321696955240345
191,Merge,HV-AV,6.6,1.8633950074535992
192,Merge,HV-AV,6.6,2.1670058487240773
193,Merge,HV-AV,6.6,2.4583155335090394
194,Merge,HV-AV,6.6,2.6392255846522072
195,Merge,HV-AV,6.6,2.872080651746762
196,Merge,HV-AV,6.6,3.0646242349847848
197,Merge,HV-AV,6.6,3.2539334119326915
198,Merge,HV-AV,6.6,3.488433086675508
199,Merge,HV-AV,6.6,3.692666437938657
200,Merge,HV-AV,6.6,3.9343400377709035
201,Merge,HV-AV,6.6,4.221600565039754
202,Merge,HV-AV,6.6,4.501194742013395
203,Merge,HV-AV,6.6,4.835459077205916
204,Merge,HV-AV,6.6,5.211475240498421
205,Merge,HV-AV,6.6,5.633859133809832
206,Merge,HV-AV,6.6,6.123665214064403
207,Merge,HV-AV,6.6,6.68122450464025
208,Merge,HV-AV,6.6,7.264171374636238
209,Merge,HV-AV,6.6,7.948726184274916
210,Merge,HV-AV,6.6,8.720138710929923
211,Merge,HV-AV,6.6,9.608677175761878
212,Merge,HV-AV,6.6,10.423397966719715
213,Merge,HV-AV,6.6,11.38304780339908
214,Merge,HV-AV,6.6,12.409385918284057
215,Merge,HV-AV,6.6,13.368557940193154
216,Merge,HV-AV,6.6,14.302867550730104
217,Merge,HV-AV,6.6,15.24363903588472
218,Merge,HV-AV,6.6,16.061247273715416
219,Merge,HV-AV,6.6,16.784091745108185
220,Merge,HV-AV,6.6,17.46959977674353
221,Merge,HV-AV,6.6,18.222039674411935
222,Merge,HV-AV,6.6,18.948777110786825
223,Merge,HV-AV,6.6,19.73343367592718
263,Merge,AV-HV,4.5,8.955920159208292
264,Merge,AV-HV,4.5,10.192914760469446
265,Merge,AV-HV,4.5,11.571269751704826
266,Merge,AV-HV,4.5,13.117126663301924
267,Merge,AV-HV,4.5,14.794892200416541
268,Merge,AV-HV,4.5,16.495584507782656
269,Merge,AV-HV,4.5,18.224636841993004
270,Merge,AV-HV,4.5,19.757674614716507
276,Merge,AV-HV,4.5,19.758733092920025
429,Merge,HV-AV,6.3,-16.92065659073816
430,Merge,HV-AV,6.3,-14.116451442629156
431,Merge,HV-AV,6.3,-11.7647041866845
432,Merge,HV-AV,6.3,-9.733909604780528
433,Merge,HV-AV,6.3,-8.006977463761732
434,Merge,HV-AV,6.3,-6.528327356756329
435,Merge,HV-AV,6.3,-5.213375412207423
436,Merge,HV-AV,6.3,-4.055629040355924
437,Merge,HV-AV,6.3,-3.0075455078099935
438,Merge,HV-AV,6.3,-2.129009963733777
439,Merge,HV-AV,6.3,-1.3478619429707024
440,Merge,HV-AV,6.3,-0.6405239949230568
441,Merge,HV-AV,6.3,0.13768389013701476
442,Merge,HV-AV,6.3,0.7885001746443789
443,Merge,HV-AV,6.3,1.3646209624831291
444,Merge,HV-AV,6.3,1.9059065393447305
445,Merge,HV-AV,6.3,2.4313547437491323
446,Merge,HV-AV,6.3,2.948207207772423
447,Merge,HV-AV,6.3,3.4826505538727566
448,Merge,HV-AV,6.3,4.054570125053071
449,Merge,HV-AV,6.3,4.693049652991624
450,Merge,HV-AV,6.3,5.420659825470924
451,Merge,HV-AV,6.3,6.298850463564699
452,Merge,HV-AV,6.3,7.34707996795359
453,Merge,HV-AV,6.3,8.653597890407621
454,Merge,HV-AV,6.3,10.313214800186271
455,Merge,HV-AV,6.3,12.479893453045015
456,Merge,HV-AV,6.3,15.39483527935305
457,Merge,HV-AV,6.3,19.466321894753918
474,Merge,HV-AV,6.5,3.55499310780651
475,Merge,HV-AV,6.5,1.119187712118105
476,Merge,HV-AV,6.5,-1.4012727437671657
477,Merge,HV-AV,6.5,-3.733798910961866
478,Merge,HV-AV,6.5,-5.7690482074787965
479,Merge,HV-AV,6.5,-7.503897162064071
480,Merge,HV-AV,6.5,-8.931716478086223
481,Merge,HV-AV,6.5,-10.126375453529874
482,Merge,HV-AV,6.5,-11.12071334555992
483,Merge,HV-AV,6.5,-11.96206534074345
484,Merge,HV-AV,6.5,-13.04676079529061
485,Merge,HV-AV,6.5,-14.280251138947271
486,Merge,HV-AV,6.5,-15.972811074213624
487,Merge,HV-AV,6.5,-18.002648611399593
511,Merge,HV-AV,6.5,-19.30753927106162
512,Merge,HV-AV,6.5,-15.993820138205331
513,Merge,HV-AV,6.5,-12.858396346954448
514,Merge,HV-AV,6.5,-9.963481832277354
515,Merge,HV-AV,6.5,-7.413702465464727
516,Merge,HV-AV,6.5,-5.213242614854872
517,Merge,HV-AV,6.5,-3.286972724960556
518,Merge,HV-AV,6.5,-1.7314005969303619
519,Merge,HV-AV,6.5,-0.38387409583603294
520,Merge,HV-AV,6.5,0.9309087714991762
521,Merge,HV-AV,6.5,2.2539199936753453
522,Merge,HV-AV,6.5,3.2412526188648023
523,Merge,HV-AV,6.5,4.134284940498292
524,Merge,HV-AV,6.5,4.960486913103069
525,Merge,HV-AV,6.5,5.75453595439311
526,Merge,HV-AV,6.5,6.534366040663045
527,Merge,HV-AV,6.5,7.322522604592486
528,Merge,HV-AV,6.5,8.139998775303427
529,Merge,HV-AV,6.5,8.968256194911039
530,Merge,HV-AV,6.5,9.820490856481939
531,Merge,HV-AV,6.5,10.698067603815275
532,Merge,HV-AV,6.5,11.583033557328456
533,Merge,HV-AV,6.5,12.457161273590689
534,Merge,HV-AV,6.5,13.295546198016995
535,Merge,HV-AV,6.5,14.117706893044412
536,Merge,HV-AV,6.5,14.881105406227611
537,Merge,HV-AV,6.5,15.59070808498848
538,Merge,HV-AV,6.5,16.25175632834147
539,Merge,HV-AV,6.5,16.899636101188843
540,Merge,HV-AV,6.5,17.56813321091466
541,Merge,HV-AV,6.5,18.27973536401826
542,Merge,HV-AV,6.5,19.088768536095024
635,Merge,AV-HV,5.8,7.631163743841401
636,Merge,AV-HV,5.8,7.7344726115149145
637,Merge,AV-HV,5.8,7.820052189318428
638,Merge,AV-HV,5.8,7.907254662415448
639,Merge,AV-HV,5.8,7.993000267089894
640,Merge,AV-HV,5.8,8.055852665402707
641,Merge,AV-HV,5.8,8.147536190041917
642,Merge,AV-HV,5.8,8.264327108963688
643,Merge,AV-HV,5.8,8.423380035510563
644,Merge,AV-HV,5.8,8.579667703368433
645,Merge,AV-HV,5.8,8.843461115983557
646,Merge,AV-HV,5.8,9.162252930509267
647,Merge,AV-HV,5.8,9.475456478244235
648,Merge,AV-HV,5.8,9.858125743279643
649,Merge,AV-HV,5.8,10.28942722948792
690,Merge,AV-HV,3.9,18.93325560929577
691,Merge,AV-HV,3.9,17.30489354761692
692,Merge,AV-HV,3.9,15.900751422857
693,Merge,AV-HV,3.9,14.764839775682848
694,Merge,AV-HV,3.9,13.838734392306522
695,Merge,AV-HV,3.9,13.081336141848835
696,Merge,AV-HV,3.9,12.404094250574481
697,Merge,AV-HV,3.9,11.765799886514136
698,Merge,AV-HV,3.9,11.20392742621714
699,Merge,AV-HV,3.9,10.673607042727154
700,Merge,AV-HV,3.9,10.137025299166053
701,Merge,AV-HV,3.9,9.59797848989473
702,Merge,AV-HV,3.9,9.146728228984653
704,Merge,HV-AV,6.0,-19.45977413628767
705,Merge,HV-AV,6.0,-17.94839949491092
706,Merge,HV-AV,6.0,-16.604893631599793
707,Merge,HV-AV,6.0,-15.443605539360753
708,Merge,HV-AV,6.0,-14.477719874012339
709,Merge,HV-AV,6.0,-13.638992904377673
710,Merge,HV-AV,6.0,-12.905276623573293
711,Merge,HV-AV,6.0,-12.253199775407026
712,Merge,HV-AV,6.0,-11.641203251857938
713,Merge,HV-AV,6.0,-11.077932352903673
714,Merge,HV-AV,6.0,-10.496583234660484
715,Merge,HV-AV,6.0,-9.965439053892208
716,Merge,HV-AV,6.0,-9.43760198855872
717,Merge,HV-AV,6.0,-8.878027529267595
718,Merge,HV-AV,6.0,-8.304979953332143
719,Merge,HV-AV,6.0,-7.688475973879349
720,Merge,HV-AV,6.0,-7.0306495735045464
721,Merge,HV-AV,6.0,-6.322743836104474
722,Merge,HV-AV,6.0,-5.531544114722273
723,Merge,HV-AV,6.0,-4.615526515664628
724,Merge,HV-AV,6.0,-3.5470190314462293
725,Merge,HV-AV,6.0,-2.270904251097434
726,Merge,HV-AV,6.0,-0.6700625779390563
727,Merge,HV-AV,6.0,1.3247679322462282
728,Merge,HV-AV,6.0,3.8443551635036695
729,Merge,HV-AV,6.0,7.143961217098742
730,Merge,HV-AV,6.0,11.575003663169321
731,Merge,HV-AV,6.0,17.759044695348877
815,Merge,HV-AV,7.1,-4.9706648884552385
816,Merge,HV-AV,7.1,-4.264836536329444
817,Merge,HV-AV,7.1,-3.6970523919848413
818,Merge,HV-AV,7.1,-3.0518876374205615
819,Merge,HV-AV,7.1,-2.6537130317984507
820,Merge,HV-AV,7.1,-2.0719489808447262
821,Merge,HV-AV,7.1,-1.3716919096661417
822,Merge,HV-AV,7.1,-1.0283175872659296
823,Merge,HV-AV,7.1,-0.6453879310834392
824,Merge,HV-AV,7.1,-0.16706606440692884
825,Merge,HV-AV,7.1,0.4472745026198881
826,Merge,HV-AV,7.1,1.2079910285981015
827,Merge,HV-AV,7.1,2.1685213310557003
828,Merge,HV-AV,7.1,3.3182757474806133
829,Merge,HV-AV,7.1,4.6866309131865735
830,Merge,HV-AV,7.1,6.218858636429304
831,Merge,HV-AV,7.1,7.981932884549532
832,Merge,HV-AV,7.1,10.049297856628218
833,Merge,HV-AV,7.1,12.475475939437509
834,Merge,HV-AV,7.1,15.39339285103478
835,Merge,HV-AV,7.1,18.989276097629947
859,Merge,AV-HV,1.7,17.54739742404484
876,Merge,AV-HV,1.7,19.328864126028698
877,Merge,AV-HV,1.7,17.41155348605253
878,Merge,AV-HV,1.7,15.436039510574648
879,Merge,AV-HV,1.7,13.809680041020258
880,Merge,AV-HV,1.7,12.281739547281552
881,Merge,AV-HV,1.7,10.953178531006818
882,Merge,AV-HV,1.7,9.801622490837138
883,Merge,AV-HV,1.7,8.784601769797362
884,Merge,AV-HV,1.7,7.928624791768277
885,Merge,AV-HV,1.7,7.168449447230655
886,Merge,AV-HV,1.7,6.505952195813133
887,Merge,AV-HV,1.7,5.922369934241228
888,Merge,AV-HV,1.7,5.423069308619775
889,Merge,AV-HV,1.7,4.961561355355907
890,Merge,AV-HV,1.7,4.5719189529689785
891,Merge,AV-HV,1.7,4.229115024816307
892,Merge,AV-HV,1.7,3.922003517538634
893,Merge,AV-HV,1.7,3.6647157208965133
894,Merge,AV-HV,1.7,3.429915779819137
895,Merge,AV-HV,1.7,3.2316714323375124
896,Merge,AV-HV,1.7,3.0641684432240823
897,Merge,AV-HV,1.7,2.916939331921963
898,Merge,AV-HV,1.7,2.789172550649454
899,Merge,AV-HV,1.7,2.67814678226635
900,Merge,AV-HV,1.7,2.5807020609591538
901,Merge,AV-HV,1.7,2.5016410310283645
902,Merge,AV-HV,1.7,2.4299383787130484
903,Merge,AV-HV,1.7,2.3661647073434606
904,Merge,AV-HV,1.7,2.3104890254149852
905,Merge,AV-HV,1.7,2.2518882617575704
906,Merge,AV-HV,1.7,2.202994272820907
907,Merge,AV-HV,1.7,2.1533222657417648
908,Merge,AV-HV,1.7,2.0853016524958568
909,Merge,AV-HV,1.7,2.0386703517234177
910,Merge,AV-HV,1.7,1.9894165598450775
911,Merge,AV-HV,1.7,1.9320715129899801
963,Merge,HV-AV,3.8,-6.474035934246521
964,Merge,HV-AV,3.8,-7.593024505491801
965,Merge,HV-AV,3.8,-8.908964220767352
966,Merge,HV-AV,3.8,-10.404420754850436
967,Merge,HV-AV,3.8,-11.974405304689437
968,Merge,HV-AV,3.8,-13.457407635143143
969,Merge,HV-AV,3.8,-14.516978241480574
970,Merge,HV-AV,3.8,-14.855570131662066
971,Merge,HV-AV,3.8,-14.188760745255012
972,Merge,HV-AV,3.8,-12.496041342046645
973,Merge,HV-AV,3.8,-9.953967623590264
974,Merge,HV-AV,3.8,-6.861860995976588
975,Merge,HV-AV,3.8,-3.441844303425123
976,Merge,HV-AV,3.8,0.18406871889389542
977,Merge,HV-AV,3.8,4.251584568307672
978,Merge,HV-AV,3.8,8.44573126350638
979,Merge,HV-AV,3.8,13.367612423257796
980,Merge,HV-AV,3.8,19.9645150482296
1002,Merge,HV-AV,3.8,17.972304873638116
1003,Merge,HV-AV,3.8,15.683387230293034
1004,Merge,HV-AV,3.8,13.916981366932113
1005,Merge,HV-AV,3.8,12.524443566312737
1006,Merge,HV-AV,3.8,11.431201221449662
1007,Merge,HV-AV,3.8,10.549473839392823
1008,Merge,HV-AV,3.8,9.838543083596514
1009,Merge,HV-AV,3.8,9.261483211615532
1010,Merge,HV-AV,3.8,8.789575776707549
1011,Merge,HV-AV,3.8,8.403357111530227
1012,Merge,HV-AV,3.8,8.07778841969272
1013,Merge,HV-AV,3.8,7.804169279505291
1014,Merge,HV-AV,3.8,7.5677745063003
1015,Merge,HV-AV,3.8,7.363232627640277
1016,Merge,HV-AV,3.8,7.176313059822567
1017,Merge,AV-HV,6.5,7.995628343336953
1018,Merge,AV-HV,6.5,8.55372292186255
1019,Merge,AV-HV,6.5,9.14512509681644
1020,Merge,AV-HV,6.5,9.71991835122282
1021,Merge,AV-HV,6.5,10.291844058060526
1022,Merge,AV-HV,6.5,10.899631940402573
1023,Merge,AV-HV,6.5,11.527589419301757
1024,Merge,AV-HV,6.5,12.203041695269569
1025,Merge,AV-HV,6.5,12.97169396933777
1026,Merge,AV-HV,6.5,13.721356044795051
1027,Merge,AV-HV,6.5,14.653872197410678
1028,Merge,AV-HV,6.5,15.657846273394561
1073,Merge,HV-AV,6.4,-17.874116959911873
1074,Merge,HV-AV,6.4,-14.63527088452026
1075,Merge,HV-AV,6.4,-11.719251158444
1076,Merge,HV-AV,6.4,-9.097645429437932
1077,Merge,HV-AV,6.4,-6.731512593686124
1078,Merge,HV-AV,6.4,-4.581541320093944
1079,Merge,HV-AV,6.4,-2.6113705974183166
1080,Merge,HV-AV,6.4,-0.7859054113890753
1081,Merge,HV-AV,6.4,0.9491448167250969
1082,Merge,HV-AV,6.4,2.6163503544250784
1083,Merge,HV-AV,6.4,4.239577689109009
1084,Merge,HV-AV,6.4,5.823209083394067
1085,Merge,HV-AV,6.4,7.358424238911972
1086,Merge,HV-AV,6.4,8.823837738595127
1087,Merge,HV-AV,6.4,10.224834762899963
1088,Merge,HV-AV,6.4,11.526539257466567
1089,Merge,HV-AV,6.4,12.739259363628692
1090,Merge,HV-AV,6.4,14.004607132544534
1091,Merge,HV-AV,6.4,15.225404966298328
1092,Merge,HV-AV,6.4,16.506840330173063
1093,Merge,HV-AV,6.4,17.933329929592144
1094,Merge,HV-AV,6.4,19.6163517191677
1158,Merge,HV-AV,2.9,-18.282413107691845
1159,Merge,HV-AV,2.9,-14.269588248402336
1160,Merge,HV-AV,2.9,-8.35777538119956
1161,Merge,HV-AV,2.9,0.26557167957004424
1162,Merge,HV-AV,2.9,12.963630690274492
1195,Merge,HV-AV,2.9,17.302523532625475
1196,Merge,HV-AV,2.9,15.093424272902201
1197,Merge,HV-AV,2.9,13.387823244530596
1198,Merge,HV-AV,2.9,12.026998671288636
1199,Merge,HV-AV,2.9,10.926220015130058
1200,Merge,HV-AV,2.9,10.024184658266645
1201,Merge,HV-AV,2.9,9.262849891004146
1202,Merge,HV-AV,2.9,8.62179075749952
1203,Merge,HV-AV,2.9,8.073529871910093
1204,Merge,HV-AV,2.9,7.602702255165784
1205,Merge,HV-AV,2.9,7.191156727308929
1206,Merge,HV-AV,2.9,6.836287125187287
1207,Merge,HV-AV,2.9,6.541218703832022
1208,Merge,HV-AV,2.9,6.282381452441008
1209,Merge,HV-AV,2.9,6.0573734903236645
1210,Merge,HV-AV,2.9,5.866442680959466
1211,Merge,HV-AV,2.9,5.694532988023345
1212,Merge,HV-AV,2.9,5.542923823684576
1213,Merge,HV-AV,2.9,5.407690787350869
1214,Merge,HV-AV,6.2,-8.229073626638684
1215,Merge,HV-AV,6.2,-8.517065744953076
1216,Merge,HV-AV,6.2,-8.78354021314524
1217,Merge,HV-AV,6.2,-8.998559838357403
1218,Merge,HV-AV,6.2,-9.15496550249144
1219,Merge,HV-AV,6.2,-9.227337680335783
1220,Merge,HV-AV,6.2,-9.206491269276036
1221,Merge,HV-AV,6.2,-9.11922543749277
1222,Merge,HV-AV,6.2,-8.953516114030776
1223,Merge,HV-AV,6.2,-8.715589680923445
1224,Merge,HV-AV,6.2,-8.400926459915322
1225,Merge,HV-AV,6.2,-8.037033272461274
1226,Merge,HV-AV,6.2,-7.603741558734063
1227,Merge,HV-AV,6.2,-7.110708290364661
1228,Merge,HV-AV,6.2,-6.535136459541613
1229,Merge,HV-AV,6.2,-5.865320368921855
1230,Merge,HV-AV,6.2,-5.074118759884213
1231,Merge,HV-AV,6.2,-4.124628668601991
1232,Merge,HV-AV,6.2,-2.980911982165825
1233,Merge,HV-AV,6.2,-1.6004417466167187
1234,Merge,HV-AV,6.2,0.0726944209795306
1235,Merge,HV-AV,6.2,2.1024396362035986
1236,Merge,HV-AV,6.2,4.476688360317379
1237,Merge,HV-AV,6.2,7.138882252077323
1238,Merge,HV-AV,6.2,9.94522559818734
1239,Merge,HV-AV,6.2,12.652471073079466
1240,Merge,HV-AV,6.2,14.942468198190083
1241,Merge,HV-AV,6.2,16.672226356684753
1242,Merge,HV-AV,6.2,17.673821518657945
1243,Merge,HV-AV,6.2,18.097662362588
1244,Merge,HV-AV,6.2,18.13782887486773
1245,Merge,HV-AV,6.2,17.99595272578813
1246,Merge,HV-AV,6.2,17.883780438766905
1247,Merge,HV-AV,6.2,17.878992582283434
1248,Merge,HV-AV,6.2,18.35958522144019
1249,Merge,HV-AV,6.2,18.901956490328367
1250,Merge,HV-AV,6.2,19.81541886268237
1308,Merge,HV-AV,9.4,10.594930505403408
1309,Merge,HV-AV,9.4,11.09904973905231
1310,Merge,HV-AV,9.4,11.579746848412785
1311,Merge,HV-AV,9.4,12.045709434093496
1312,Merge,HV-AV,9.4,12.507902305162974
1313,Merge,HV-AV,9.4,12.971738673271531
1314,Merge,HV-AV,9.4,13.449466082525294
1315,Merge,HV-AV,9.4,13.939312141893028
1316,Merge,HV-AV,9.4,14.466450534439785
1317,Merge,HV-AV,9.4,15.047936617672885
1318,Merge,HV-AV,9.4,15.706188751171986
1319,Merge,HV-AV,9.4,16.464930197937388
1320,Merge,HV-AV,9.4,17.339208116071568
1321,Merge,HV-AV,9.4,18.416116377171445
1322,Merge,HV-AV,9.4,19.676760202148206
1431,Merge,AV-HV,2.2,-2.7328130972430102
1432,Merge,AV-HV,2.2,11.194573770751461
1465,Merge,AV-HV,2.2,19.32328556943674
1466,Merge,AV-HV,2.2,16.56788015429692
1467,Merge,AV-HV,2.2,14.274232393850953
1468,Merge,AV-HV,2.2,12.3814399162665
1469,Merge,AV-HV,2.2,10.844114842925766
1470,Merge,AV-HV,2.2,9.516805695790275
1471,Merge,AV-HV,2.2,8.408320269132762
1472,Merge,AV-HV,2.2,7.477166719029798
1473,Merge,AV-HV,2.2,6.694304304452367
1474,Merge,AV-HV,2.2,6.032590635236913
1475,Merge,AV-HV,2.2,5.450609068957304
1476,Merge,AV-HV,2.2,4.975939696834937
1477,Merge,AV-HV,2.2,4.569300839069115
1478,Merge,AV-HV,2.2,4.209793827675076
1479,Merge,AV-HV,2.2,3.9056285624902745
1480,Merge,AV-HV,2.2,3.6434154939702843
1481,Merge,AV-HV,2.2,3.422441712220552
1482,Merge,AV-HV,2.2,3.2378567650090164
1483,Merge,AV-HV,2.2,3.082795385314338
1484,Merge,AV-HV,2.2,2.941863195032383
1485,Merge,AV-HV,2.2,2.8464044073373462
1486,Merge,AV-HV,2.2,2.741455641169647
1677,Merge,HV-AV,7.0,-14.148269497675782
1678,Merge,HV-AV,7.0,-11.47387353847279
1679,Merge,HV-AV,7.0,-9.261164858666936
1680,Merge,HV-AV,7.0,-7.393929957478481
1681,Merge,HV-AV,7.0,-5.87151540722752
1682,Merge,HV-AV,7.0,-4.606049404627221
1683,Merge,HV-AV,7.0,-3.540859935764739
1684,Merge,HV-AV,7.0,-2.650250066531642
1685,Merge,HV-AV,7.0,-1.890301048039949
1686,Merge,HV-AV,7.0,-1.2268045139155053
1687,Merge,HV-AV,7.0,-0.6585786336561741
1688,Merge,HV-AV,7.0,-0.1451837368468052
1689,Merge,HV-AV,7.0,0.31704547550897466
1690,Merge,HV-AV,7.0,0.7497914234279985
1691,Merge,HV-AV,7.0,1.15993528300704
1692,Merge,HV-AV,7.0,1.5634085072602937
1693,Merge,HV-AV,7.0,1.967453530125968
1694,Merge,HV-AV,7.0,2.3775092700951137
1695,Merge,HV-AV,7.0,2.7974452697757504
1696,Merge,HV-AV,7.0,3.2266240803387047
1697,Merge,HV-AV,7.0,3.6804293268672748
1698,Merge,HV-AV,7.0,4.1487524790965775
1699,Merge,HV-AV,7.0,4.634505002441903
1700,Merge,HV-AV,7.0,5.146936080181142
1701,Merge,HV-AV,7.0,5.672723359312258
1702,Merge,HV-AV,7.0,6.210154273822615
1703,Merge,HV-AV,7.0,6.754933323112908
1704,Merge,HV-AV,7.0,7.299029966812365
1705,Merge,HV-AV,7.0,7.850327333365499
1706,Merge,HV-AV,7.0,8.395090606255744
1707,Merge,HV-AV,7.0,8.933456788220811
1708,Merge,HV-AV,7.0,9.483428402770146
1709,Merge,HV-AV,7.0,10.10743042246967
1710,Merge,HV-AV,7.0,10.72657363738385
1711,Merge,HV-AV,7.0,11.411278357026012
1712,Merge,HV-AV,7.0,12.197111571939914
1713,Merge,HV-AV,7.0,13.11885324316626
1714,Merge,HV-AV,7.0,14.237234398826645
1715,Merge,HV-AV,7.0,15.632262244666274
1716,Merge,HV-AV,7.0,17.404237195003695
1717,Merge,AV-HV,2.2,0.11412224560927253
1718,Merge,AV-HV,2.2,0.5690734202550258
1719,Merge,AV-HV,2.2,1.0349866382300288
1720,Merge,AV-HV,2.2,1.4485893877639313
1721,Merge,AV-HV,2.2,1.8577728397715276
1722,Merge,AV-HV,2.2,2.2621292808609876
1723,Merge,AV-HV,2.2,2.6451387611168213
1724,Merge,AV-HV,2.2,3.0058455242896738
1725,Merge,AV-HV,2.2,3.374546536091543
1726,Merge,AV-HV,2.2,3.794538744086179
1727,Merge,AV-HV,2.2,4.2043329095161965
1728,Merge,AV-HV,2.2,4.65030461012439
1729,Merge,AV-HV,2.2,5.139033051146629
1730,Merge,AV-HV,2.2,5.669789430345393
1731,Merge,AV-HV,2.2,6.222994332557937
1732,Merge,AV-HV,2.2,6.841368373310183
1733,Merge,AV-HV,2.2,7.4573571777703975
1734,Merge,AV-HV,2.2,8.057685637819455
1735,Merge,AV-HV,2.2,8.60863002270506
1736,Merge,AV-HV,2.2,9.079749501462457
1737,Merge,AV-HV,2.2,9.394876417673562
1738,Merge,AV-HV,2.2,9.590929597497764
1739,Merge,AV-HV,2.2,9.547230786674866
1740,Merge,AV-HV,2.2,9.3034248894014
1741,Merge,AV-HV,2.2,8.871454354186495
1742,Merge,AV-HV,2.2,8.313227115693877
1743,Merge,AV-HV,2.2,7.684582356726128
1744,Merge,AV-HV,2.2,7.032576001766841
1745,Merge,AV-HV,2.2,6.406243863868339
1746,Merge,AV-HV,2.2,5.834523707761976
1747,Merge,AV-HV,2.2,5.299223709509296
1748,Merge,AV-HV,2.2,4.8365831742750025
1749,Merge,AV-HV,2.2,4.450123347531598
1750,Merge,AV-HV,2.2,4.1104528530828945
